A,HG,HT,TR,CTH,BD,VH,CTQ,DQT,KS,CVN
096.jpg,1,0,1,0,0,0,0,0,0,0
097.jpg,1,0,0,1,0,0,0,0,0,0
098.jpg,1,0,1,0,0,0,0,0,0,0
099.jpg,1,0,0,1,0,0,0,0,0,0
100.jpg,1,0,0,1,0,0,0,0,0,0
101.jpg,1,0,1,0,0,0,0,0,0,0
102.jpg,1,0,0,0,0,1,0,0,0,0
103.jpg,1,0,0,1,0,0,0,0,0,0
104.jpg,1,0,0,1,0,0,0,0,0,0
105.jpg,1,0,0,1,0,0,0,0,0,0
106.jpg,0,1,0,0,0,0,0,0,1,0
107.jpg,0,1,0,0,0,0,0,0,1,0
108.jpg,0,1,0,0,0,0,0,0,1,0
109.jpg,0,1,0,0,0,0,0,0,1,0
110.jpg,0,1,0,0,0,0,0,0,1,0
111.jpg,0,1,0,0,0,1,0,0,0,0
112.jpg,0,1,0,0,0,1,0,0,0,0
113.jpg,0,1,0,0,0,1,0,0,0,0
114.jpg,0,1,0,0,0,1,0,0,0,0
115.jpg,0,1,0,0,0,1,0,0,0,0
116.jpg,0,1,0,0,0,1,0,0,0,0
117.jpg,0,1,0,0,0,0,0,0,0,1
118.jpg,0,1,0,0,0,0,0,0,0,1
119.jpg,0,1,0,0,0,0,0,0,0,1
120.jpg,0,1,0,0,0,0,0,0,0,1
121.jpg,0,1,0,0,0,0,0,0,0,1
122.jpg,0,1,0,0,0,0,0,0,0,1
123.jpg,0,1,0,0,0,0,0,0,0,1
124.jpg,0,1,0,0,0,0,0,0,0,1
125.jpg,0,1,0,0,0,0,0,0,0,1
126.jpg,0,1,0,0,0,0,0,0,0,1
127.jpg,0,1,0,0,0,0,0,0,0,1
128.jpg,0,1,0,0,0,0,0,0,0,1
129.jpg,0,1,0,0,0,0,0,0,0,1
130.jpg,0,1,0,0,0,0,0,0,0,1
131.jpg,0,1,0,0,0,0,0,0,0,1
132.jpg,0,1,0,0,0,0,0,0,0,1
133.jpg,0,1,0,0,0,0,0,0,0,1
134.jpg,0,1,0,0,0,0,0,0,0,1
135.jpg,0,1,0,0,0,0,0,0,0,1
136.jpg,1,0,1,0,0,0,0,0,0,0
137.jpg,1,0,0,1,0,0,0,0,0,0
138.jpg,1,0,1,0,0,0,0,0,0,0
139.jpg,1,0,0,1,0,0,0,0,0,0
140.jpg,1,0,0,1,0,1,0,0,0,0
141.jpg,1,0,0,1,0,0,0,0,0,0
142.jpg,1,0,0,1,0,0,0,0,0,0
143.jpg,1,0,0,1,0,0,0,0,0,0
144.jpg,1,0,0,1,0,0,0,0,0,0
145.jpg,1,0,0,1,0,0,0,0,0,0
146.jpg,1,0,1,0,0,0,0,0,0,0
147.jpg,1,0,1,0,0,0,0,0,0,0
148.jpg,1,0,0,1,0,0,0,0,0,0
149.jpg,1,0,1,0,0,0,0,0,0,0
150.jpg,1,0,1,0,0,0,0,0,0,0
151.jpg,1,0,1,0,0,0,0,0,0,0
152.jpg,1,0,1,0,0,0,0,0,0,0
153.jpg,1,0,0,0,1,0,0,0,0,0
154.jpg,1,0,0,0,1,0,0,0,0,0
155.jpg,1,0,0,0,1,0,0,0,0,0
156.jpg,1,0,0,0,1,0,0,0,0,0
157.jpg,1,0,0,0,1,0,0,0,0,0
158.jpg,1,0,1,0,0,0,0,0,0,0
159.jpg,1,0,1,0,0,0,0,0,0,0
160.jpg,1,0,1,0,0,1,0,0,0,0
161.jpg,1,0,1,0,0,1,0,0,0,0
162.jpg,1,0,0,1,0,0,0,0,0,0
163.jpg,1,0,0,1,0,0,0,0,0,0
164.jpg,1,0,0,1,0,1,0,0,0,0
165.jpg,1,0,0,0,1,0,0,0,0,0
166.jpg,1,0,0,0,0,0,0,0,1,0
167.jpg,1,0,0,0,0,0,0,0,1,0
168.jpg,1,0,0,0,0,1,0,0,0,0
169.jpg,1,0,0,1,0,1,0,0,0,0
170.jpg,1,0,0,0,0,0,0,0,1,0
171.jpg,1,0,1,0,0,1,0,0,0,0
172.jpg,1,0,0,0,0,0,0,0,1,0
173.jpg,1,0,0,1,0,1,0,0,0,0
174.jpg,1,0,0,0,0,0,0,0,1,0
175.jpg,1,0,0,0,0,1,0,0,0,0
176.jpg,1,0,0,0,1,0,0,0,0,0
177.jpg,1,0,0,0,0,0,0,0,1,0
178.jpg,1,0,0,0,1,0,0,0,0,0
179.jpg,1,0,0,0,0,1,0,0,0,0
180.jpg,1,0,0,0,1,0,0,0,0,0
181.jpg,1,0,0,0,1,0,0,0,0,0
182.jpg,1,0,0,0,0,0,0,0,1,0
183.jpg,1,0,0,0,1,0,0,0,0,0
184.jpg,1,0,0,0,1,0,0,0,0,0
185.jpg,1,0,1,0,0,1,0,0,0,0
186.jpg,1,0,1,0,0,1,0,0,0,0
187.jpg,1,0,0,0,1,0,0,0,0,0
188.jpg,1,0,0,0,1,0,0,0,0,0
189.jpg,1,0,0,0,0,0,0,0,1,0
190.jpg,1,0,0,0,0,0,0,0,1,0
191.jpg,1,0,0,0,0,1,0,0,0,0
192.jpg,1,0,0,0,0,0,0,0,1,0
193.jpg,1,0,0,0,0,0,0,0,1,0
194.jpg,1,0,0,0,0,0,0,0,1,0
195.jpg,1,0,1,0,0,1,0,0,0,0
196.jpg,1,0,0,0,1,0,0,0,0,0
197.jpg,1,0,0,0,1,0,0,0,0,0
198.jpg,1,0,0,0,1,0,0,0,0,0
199.jpg,1,0,0,0,0,0,0,0,1,0
200.jpg,1,0,0,0,1,0,0,0,0,0
